"idem","year","Gini_net","gdp_gro","Trade","Gov_ex","Secondary_ed","employ_rate","Education_exp","Health_exp","Soc_kind","Soc_payable","Social_prot_ex_pen","Unemp_tra","Property_taxes","PIT","ind_tx","Corporate_ta","mrp_all","arp_mid","pi_a","pi_m","sav_gdp","RD_gdp","res_1mill","rd","rd1","Gov_debt","cycle","trend","gi_bb","phat0","invwt","mu","mu0","mu1","mdiff1","iptw","dr1","id","phat","ate"
"Belgium",2000,1.424881637,1.239050187,2.149462354,1.691081492,1.498310554,1.781934798,0.739664614,0.780813873,0.770852012,1.158362492,0.894439071,NA,-2.981415804,-0.907441081,0.846016328,0.495544338,-1.066938624,-1.145548829,1.039518067,0.968183938,1.42565837,0.283834721,3.472784849,4.951004788,0.404651346,2.036628895,0.000409352,1.424472285,1,0.49993989742916,2.00024043918539,0.004666358363971,0,2.17749003810021e-05,-2.17801359203116e-05,2.85010587138007,2.85008409124415,"2",0.49993989742916,1
"Belgium",2001,1.424881637,1.230368894,2.14206002,1.691965103,1.50242712,1.777789187,0.751651424,0.800649811,0.792391689,1.164352856,0.897627091,0.368472301,-2.985960706,-0.905315838,0.825076289,0.48315921,-1.087043388,-1.155753377,1.046321837,0.984117596,1.419640292,0.305712415,3.494709525,4.96123045,0.434001662,2.031812271,-0.000499176,1.425380812,0,0.500450037924656,2.00180177343138,0.00133329966763518,1.77768800371608e-06,0,1.78089099473045e-06,-2.8523305878764,-2.85232880698541,"2",0.500450037924656,1
"Belgium",2002,1.426511261,1.231060274,2.130735028,1.694605199,1.514547753,1.777426822,0.759941317,0.793260985,0.792391689,1.178976947,0.908485019,0.402305698,-3.083139676,-0.910099234,0.829383587,0.47099817,-1.098651226,-1.161045795,1.056666888,0.999881639,1.42036587,0.276629515,3.471122199,4.930263503,0.392915122,2.019946682,0.000610664,1.425900597,1,0.498029965241274,2.00791131014686,0.00408273652682922,0,1.66687375475055e-05,-1.68006091000004e-05,2.86430809501376,2.86429129440466,"2",0.498029965241274,1
"Belgium",2003,1.424881637,1.226950903,2.120541522,1.705007959,1.51851394,1.77524626,0.768106598,0.828732073,0.812913357,1.184691431,0.919078092,0.418307778,-3.069180125,-0.925985662,0.821617042,0.44684771,-1.096194542,-1.139732663,1.055376104,1.015060429,1.420321721,0.262887538,3.472371702,4.931884951,0.37338488,2.004751156,-0.001419858,1.426301494,0,0.495692981546888,1.98291906201773,0.00409152648461686,1.67405889743212e-05,0,1.64546440122641e-05,-2.82542495912632,-2.82540850448231,"2",0.495692981546888,1
"Belgium",2004,1.426511261,1.229200307,2.133659736,1.689308859,1.530199698,1.780677274,0.748512021,0.831199547,0.826074803,1.178976947,0.913813852,0.41791666,-2.564944813,-0.931408477,0.828348699,0.478277832,-1.06838806,-1.10357797,1.027881876,0.995105696,1.440298276,0.257433765,3.490184026,5.026906035,0.370781408,1.984527313,-0.000868383,1.427379645,0,0.500281666084361,2.00112729938145,0.00345929047113769,1.1966690563704e-05,0,1.19801806065745e-05,-2.85463062726215,-2.85461864708155,"2",0.500281666084361,1
"Belgium",2005,1.42975228,1.229041364,2.156477434,1.712649702,1.544068044,1.785863476,0.753246708,0.834329804,0.832508913,1.176091259,0.908485019,0.402956852,-2.941372058,-0.933251137,0.835752679,0.498310554,-1.038722756,-1.081399362,1.009217183,0.969389193,1.442756726,0.250983244,3.497307057,5.045763279,0.362107763,1.975891136,0.001044763,1.428707517,1,0.48855617819482,2.04684751648199,0.0056679372345807,0,3.21255124951463e-05,-3.36305129712551e-05,2.92648490350246,2.92645127298949,"2",0.48855617819482,1
"Belgium",2006,1.42975228,1.22757805,2.169362696,1.684845362,1.546542663,1.785329835,0.748378577,0.820951879,0.819543936,1.170261715,0.908485019,0.386344985,-2.788735687,-0.953239144,0.838893829,0.541329578,-1.040186209,-1.082862829,1.032227237,0.991546212,1.447360147,0.258699526,3.516460107,5.089584218,0.374431383,1.959041392,0.000643094,1.429109186,1,0.499557696372035,2.00177078095754,0.00412172114140597,0,1.69885851675129e-05,-1.70186682306232e-05,2.86203633811143,2.8620193194432,"2",0.499557696372035,1
"Belgium",2007,1.42975228,1.227231966,2.179446742,1.683047038,1.555094449,1.792566773,0.740518084,0.825252833,0.819543936,1.167317335,0.892094603,0.35215214,-2.899723834,-0.964554529,0.840289218,0.532499586,-1.040672116,-1.083348757,1.044948951,1.003785003,1.45846314,0.265791533,3.530842016,5.149602932,0.387647154,1.939519253,0.001443152,1.428309128,1,0.500294122446398,1.99882420187165,-0.00356659916586,0,1.27206296099132e-05,-1.27056727174265e-05,2.85782345994517,2.85781075427246,"2",0.500294122446398,1
"Belgium",2008,1.424881637,1.221426095,2.201145608,1.701567985,1.571708832,1.79518459,0.754932112,0.855049612,0.851258349,1.184691431,0.913813852,0.347116701,-2.891260673,-0.937147964,0.832940026,0.514946005,-1.037239927,-1.079916538,1.012041585,0.972047286,1.425037734,0.284234411,3.532977535,5.034626301,0.405044761,1.966141733,-0.001704421,1.426586058,0,0.497580661418251,1.9903692457835,-0.00046828993748349,2.19295465548291e-07,0,2.17183484818802e-07,-2.83604058916645,-2.83604037198296,"2",0.497580661418251,1
"Belgium",2009,1.424881637,1.218678882,2.134676243,1.733197265,1.57054294,1.789580712,0.780189383,0.888154182,0.886490725,1.222716471,0.963787827,0.418112943,-2.913669449,-0.961696346,0.829924673,0.366422957,-1.032683649,-1.075360276,1.034170048,0.993128092,1.388016813,0.297841455,3.546524772,4.922636011,0.413408947,1.997823081,-0.0005808,1.425462437,0,0.485501726578774,1.94364111924101,-0.00379766354197431,1.44222483780408e-05,0,1.36094266014263e-05,-2.76945853972465,-2.76944493029805,"2",0.485501726578774,1
"Belgium",2010,1.424881637,1.229328468,2.179264771,1.726727209,1.550228353,1.792566773,0.778397807,0.88448901,0.880813592,1.214843848,0.954242509,0.394326725,-2.803826782,-0.956570162,0.840049551,0.40363519,-1.031314072,-1.073990696,1.027347454,0.986524268,1.394963297,0.311925426,3.57203836,4.982862405,0.435124521,1.998695158,-0.000110172,1.424991809,0,0.486978575827146,1.94923633376969,-0.00632922507458233,4.00590900447217e-05,0,3.80255437682016e-05,-2.77743105816164,-2.77739303261787,"2",0.486978575827146,1
"Belgium",2011,1.424881637,1.223681208,2.211531545,1.7355989,1.564666064,1.791866015,0.789528087,0.881896678,0.892094603,1.214843848,0.954242509,0.37165775,-2.793898798,-0.952435991,0.835858429,0.449478399,-1.058998234,-1.101674857,1.049274784,1.008628033,1.387531151,0.333513774,3.588343874,4.978938904,0.46276075,2.011147361,0.000154465,1.424727171,1,0.484072012347479,2.06580833944635,-0.00282245516219004,0,7.96625314257321e-06,-8.49049903349523e-06,2.94353236843857,2.94352387793954,"2",0.484072012347479,1
"Belgium",2012,1.424881637,1.224491439,2.214830863,1.747411808,1.559906625,1.791164125,0.794853983,0.898153104,0.897627091,1.227886705,0.963787827,0.372070618,-2.612422774,-0.944676693,0.840573905,0.477265995,-1.060285432,-1.102962071,1.041942562,1.001626935,1.375716213,0.356664394,3.614186547,4.972095028,0.490668989,2.018284308,0.000755067,1.424126569,1,0.479383635654463,2.08601196541635,0.000735970404655673,0,5.41652436529033e-07,-5.88241027167449e-07,2.97232014408403,2.97231955584301,"2",0.479383635654463,1
"Belgium",2013,1.423245874,1.220569191,2.210796732,1.746634199,1.57054294,1.790988475,0.805313486,0.90392681,0.903089987,1.240549248,0.968482949,0.382304053,-2.541582879,-0.926060345,0.84239963,0.492760389,-1.09015777,-1.132834396,1.049073011,1.00955188,1.365975332,0.368087826,3.618666232,4.943008807,0.502798891,2.023663918,0.000464702,1.422781172,1,0.481397151019855,2.07728690932522,-0.00512655624941361,0,2.62815789784017e-05,-2.8312800989829e-05,2.95649002281133,2.95646171001034,"2",0.481397151019855,1
